transaction_id,customer_id,transaction_date,amount,currency,invoice_status
TXN00000001,U000001,2023-02-01,199,USD,paid
TXN00000002,U000001,2023-03-01,199,USD,paid
TXN00000003,U000001,2023-04-01,199,USD,paid
TXN00000004,U000001,2023-05-01,199,USD,paid
TXN00000005,U000001,2023-06-01,199,USD,paid
TXN00000006,U000001,2023-07-01,199,USD,paid
TXN00000007,U000001,2023-08-01,199,USD,paid
TXN00000008,U000001,2023-09-01,199,USD,paid
TXN00000009,U000001,2023-10-01,199,USD,paid
TXN00000010,U000001,2023-11-01,199,USD,paid
TXN00000011,U000001,2023-12-01,199,USD,paid
TXN00000012,U000001,2024-01-01,199,USD,paid
TXN00000013,U000001,2024-02-01,199,USD,paid
TXN00000014,U000001,2024-03-01,199,USD,paid
TXN00000015,U000001,2024-04-01,199,USD,paid
TXN00000016,U000001,2024-05-01,199,USD,paid
TXN00000017,U000001,2024-06-01,199,USD,paid
TXN00000018,U000001,2024-07-01,199,USD,paid
TXN00000019,U000001,2024-08-01,199,USD,paid
TXN00000020,U000001,2024-09-01,199,USD,paid
TXN00000021,U000001,2024-10-01,199,USD,paid
TXN00000022,U000001,2024-11-01,199,USD,paid
TXN00000023,U000001,2024-12-01,199,USD,paid
TXN00000024,U000006,2023-03-10,49,USD,paid
TXN00000025,U000006,2023-04-10,49,USD,paid
TXN00000026,U000006,2023-05-10,49,USD,paid
TXN00000027,U000006,2023-06-10,49,USD,paid
TXN00000028,U000006,2023-07-10,49,USD,paid
TXN00000029,U000006,2023-08-10,49,USD,paid
TXN00000030,U000006,2023-09-10,49,USD,paid
TXN00000031,U000006,2023-10-10,49,USD,paid
TXN00000032,U000006,2023-11-10,49,USD,paid
TXN00000033,U000006,2023-12-10,49,USD,paid
TXN00000034,U000006,2024-01-10,49,USD,paid
TXN00000035,U000006,2024-02-10,49,USD,paid
TXN00000036,U000006,2024-03-10,49,USD,paid
TXN00000037,U000006,2024-04-10,49,USD,paid
TXN00000038,U000006,2024-05-10,49,USD,paid
TXN00000039,U000006,2024-06-10,49,USD,paid
TXN00000040,U000006,2024-07-10,49,USD,paid
TXN00000041,U000006,2024-08-10,49,USD,paid
TXN00000042,U000006,2024-09-10,49,USD,paid
TXN00000043,U000006,2024-10-10,49,USD,paid
TXN00000044,U000006,2024-11-10,49,USD,paid
TXN00000045,U000006,2024-12-10,49,USD,paid
TXN00000046,U000008,2022-07-28,199,USD,paid
TXN00000047,U000008,2022-08-28,199,USD,paid
TXN00000048,U000008,2022-09-28,199,USD,paid
TXN00000049,U000008,2022-10-28,199,USD,paid
TXN00000050,U000008,2022-11-28,199,USD,paid
TXN00000051,U000008,2022-12-28,199,USD,paid
TXN00000052,U000008,2023-01-28,199,USD,paid
TXN00000053,U000008,2023-02-28,199,USD,paid
TXN00000054,U000008,2023-03-28,199,USD,paid
TXN00000055,U000008,2023-04-28,199,USD,paid
TXN00000056,U000008,2023-05-28,199,USD,paid
TXN00000057,U000008,2023-06-28,199,USD,paid
TXN00000058,U000008,2023-07-28,199,USD,paid
TXN00000059,U000008,2023-08-28,199,USD,paid
TXN00000060,U000008,2023-09-28,199,USD,paid
TXN00000061,U000008,2023-10-28,199,USD,paid
TXN00000062,U000008,2023-11-28,199,USD,paid
TXN00000063,U000008,2023-12-28,199,USD,paid
TXN00000064,U000008,2024-01-28,199,USD,paid
TXN00000065,U000008,2024-02-28,199,USD,paid
TXN00000066,U000008,2024-03-28,199,USD,paid
TXN00000067,U000008,2024-04-28,199,USD,paid
TXN00000068,U000008,2024-05-28,199,USD,paid
TXN00000069,U000008,2024-06-28,199,USD,paid
TXN00000070,U000008,2024-07-28,199,USD,paid
TXN00000071,U000008,2024-08-28,199,USD,paid
TXN00000072,U000008,2024-09-28,199,USD,paid
TXN00000073,U000008,2024-10-28,199,USD,paid
TXN00000074,U000008,2024-11-28,199,USD,paid
TXN00000075,U000011,2022-05-26,199,USD,paid
TXN00000076,U000011,2022-06-26,199,USD,paid
TXN00000077,U000011,2022-07-26,199,USD,paid
TXN00000078,U000011,2022-08-26,199,USD,paid
TXN00000079,U000011,2022-09-26,199,USD,paid
TXN00000080,U000011,2022-10-26,199,USD,paid
TXN00000081,U000011,2022-11-26,199,USD,paid
TXN00000082,U000011,2022-12-26,199,USD,paid
TXN00000083,U000011,2023-01-26,199,USD,paid
TXN00000084,U000011,2023-02-26,199,USD,paid
TXN00000085,U000011,2023-03-26,199,USD,paid
TXN00000086,U000011,2023-04-26,199,USD,paid
TXN00000087,U000011,2023-05-26,199,USD,paid
TXN00000088,U000011,2023-06-26,199,USD,paid
TXN00000089,U000011,2023-07-26,199,USD,paid
TXN00000090,U000011,2023-08-26,199,USD,paid
TXN00000091,U000011,2023-09-26,199,USD,paid
TXN00000092,U000011,2023-10-26,199,USD,paid
TXN00000093,U000011,2023-11-26,199,USD,paid
TXN00000094,U000011,2023-12-26,199,USD,paid
TXN00000095,U000011,2024-01-26,199,USD,paid
TXN00000096,U000011,2024-02-26,199,USD,paid
TXN00000097,U000011,2024-03-26,199,USD,paid
TXN00000098,U000011,2024-04-26,199,USD,paid
TXN00000099,U000011,2024-05-26,199,USD,paid
TXN00000100,U000011,2024-06-26,199,USD,paid
TXN00000101,U000011,2024-07-26,199,USD,paid
TXN00000102,U000011,2024-08-26,199,USD,paid
TXN00000103,U000011,2024-09-26,199,USD,paid
TXN00000104,U000011,2024-10-26,199,USD,paid
TXN00000105,U000011,2024-11-26,199,USD,paid
TXN00000106,U000012,2022-10-13,199,USD,paid
TXN00000107,U000012,2022-11-13,199,USD,paid
TXN00000108,U000017,2022-10-08,49,USD,paid
TXN00000109,U000017,2022-11-08,49,USD,paid
TXN00000110,U000017,2022-12-08,49,USD,paid
TXN00000111,U000017,2023-01-08,49,USD,paid
TXN00000112,U000017,2023-02-08,49,USD,paid
TXN00000113,U000017,2023-03-08,49,USD,paid
TXN00000114,U000017,2023-04-08,49,USD,paid
TXN00000115,U000017,2023-05-08,49,USD,paid
TXN00000116,U000017,2023-06-08,49,USD,paid
TXN00000117,U000017,2023-07-08,49,USD,paid
TXN00000118,U000017,2023-08-08,49,USD,paid
TXN00000119,U000017,2023-09-08,49,USD,paid
TXN00000120,U000017,2023-10-08,49,USD,paid
TXN00000121,U000017,2023-11-08,49,USD,paid
TXN00000122,U000017,2023-12-08,49,USD,paid
TXN00000123,U000017,2024-01-08,49,USD,paid
TXN00000124,U000017,2024-02-08,49,USD,paid
TXN00000125,U000017,2024-03-08,49,USD,paid
TXN00000126,U000017,2024-04-08,49,USD,paid
TXN00000127,U000017,2024-05-08,49,USD,paid
TXN00000128,U000017,2024-06-08,49,USD,paid
TXN00000129,U000017,2024-07-08,49,USD,paid
TXN00000130,U000017,2024-08-08,49,USD,paid
TXN00000131,U000017,2024-09-08,49,USD,paid
TXN00000132,U000017,2024-10-08,49,USD,paid
TXN00000133,U000017,2024-11-08,49,USD,paid
TXN00000134,U000017,2024-12-08,49,USD,paid
TXN00000135,U000020,2024-01-21,199,USD,paid
TXN00000136,U000020,2024-02-21,199,USD,paid
TXN00000137,U000020,2024-03-21,199,USD,paid
TXN00000138,U000020,2024-04-21,199,USD,paid
TXN00000139,U000020,2024-05-21,199,USD,paid
TXN00000140,U000020,2024-06-21,199,USD,paid
TXN00000141,U000020,2024-07-21,199,USD,paid
TXN00000142,U000020,2024-08-21,199,USD,paid
TXN00000143,U000020,2024-09-21,199,USD,paid
TXN00000144,U000020,2024-10-21,199,USD,paid
TXN00000145,U000020,2024-11-21,199,USD,paid
TXN00000146,U000035,2022-02-11,199,USD,paid
TXN00000147,U000035,2022-03-11,199,USD,paid
TXN00000148,U000035,2022-04-11,199,USD,paid
TXN00000149,U000035,2022-05-11,199,USD,paid
TXN00000150,U000035,2022-06-11,199,USD,paid
TXN00000151,U000035,2022-07-11,199,USD,paid
TXN00000152,U000035,2022-08-11,199,USD,paid
TXN00000153,U000035,2022-09-11,199,USD,paid
TXN00000154,U000035,2022-10-11,199,USD,paid
TXN00000155,U000035,2022-11-11,199,USD,paid
TXN00000156,U000035,2022-12-11,199,USD,paid
TXN00000157,U000035,2023-01-11,199,USD,paid
TXN00000158,U000035,2023-02-11,199,USD,paid
TXN00000159,U000035,2023-03-11,199,USD,paid
TXN00000160,U000035,2023-04-11,199,USD,paid
TXN00000161,U000035,2023-05-11,199,USD,paid
TXN00000162,U000035,2023-06-11,199,USD,paid
TXN00000163,U000035,2023-07-11,199,USD,paid
TXN00000164,U000035,2023-08-11,199,USD,paid
TXN00000165,U000035,2023-09-11,199,USD,paid
TXN00000166,U000035,2023-10-11,199,USD,paid
TXN00000167,U000035,2023-11-11,199,USD,paid
TXN00000168,U000035,2023-12-11,199,USD,paid
TXN00000169,U000035,2024-01-11,199,USD,paid
TXN00000170,U000035,2024-02-11,199,USD,paid
TXN00000171,U000035,2024-03-11,199,USD,paid
TXN00000172,U000035,2024-04-11,199,USD,paid
TXN00000173,U000035,2024-05-11,199,USD,paid
TXN00000174,U000035,2024-06-11,199,USD,paid
TXN00000175,U000035,2024-07-11,199,USD,paid
TXN00000176,U000035,2024-08-11,199,USD,paid
TXN00000177,U000035,2024-09-11,199,USD,paid
TXN00000178,U000035,2024-10-11,199,USD,paid
TXN00000179,U000035,2024-11-11,199,USD,paid
TXN00000180,U000035,2024-12-11,199,USD,paid
TXN00000181,U000036,2022-06-10,49,USD,paid
TXN00000182,U000036,2022-07-10,49,USD,paid
TXN00000183,U000036,2022-08-10,49,USD,paid
TXN00000184,U000036,2022-09-10,49,USD,paid
TXN00000185,U000036,2022-10-10,49,USD,paid
TXN00000186,U000036,2022-11-10,49,USD,paid
TXN00000187,U000036,2022-12-10,49,USD,paid
TXN00000188,U000036,2023-01-10,49,USD,paid
TXN00000189,U000036,2023-02-10,49,USD,paid
TXN00000190,U000036,2023-03-10,49,USD,paid
TXN00000191,U000036,2023-04-10,49,USD,paid
TXN00000192,U000036,2023-05-10,49,USD,paid
TXN00000193,U000036,2023-06-10,49,USD,paid
TXN00000194,U000036,2023-07-10,49,USD,paid
TXN00000195,U000036,2023-08-10,49,USD,paid
TXN00000196,U000036,2023-09-10,49,USD,paid
TXN00000197,U000036,2023-10-10,49,USD,paid
TXN00000198,U000036,2023-11-10,49,USD,paid
TXN00000199,U000036,2023-12-10,49,USD,paid
TXN00000200,U000036,2024-01-10,49,USD,paid
TXN00000201,U000036,2024-02-10,49,USD,paid
TXN00000202,U000036,2024-03-10,49,USD,paid
TXN00000203,U000036,2024-04-10,49,USD,paid
TXN00000204,U000036,2024-05-10,49,USD,paid
TXN00000205,U000036,2024-06-10,49,USD,paid
TXN00000206,U000036,2024-07-10,49,USD,paid
TXN00000207,U000036,2024-08-10,49,USD,paid
TXN00000208,U000036,2024-09-10,49,USD,paid
TXN00000209,U000036,2024-10-10,49,USD,paid
TXN00000210,U000036,2024-11-10,49,USD,paid
TXN00000211,U000036,2024-12-10,49,USD,paid
TXN00000212,U000047,2023-01-15,199,USD,paid
TXN00000213,U000047,2023-02-15,199,USD,paid
TXN00000214,U000047,2023-03-15,199,USD,paid
